Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/stack/opendaylight/distribution-karaf-0.3.1-SNAPSHOT/lock
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2015-11-11 22:32:58,876 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-mapping-api 0.3.1-SNAPSHOT
2015-11-11 22:32:58,883 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-util 0.3.1-SNAPSHOT
2015-11-11 22:32:58,899 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-notifications-api 0.3.1-SNAPSHOT
2015-11-11 22:32:58,914 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-persister 0.3.1-SNAPSHOT
2015-11-11 22:32:59,035 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-impl 0.3.1-SNAPSHOT
2015-11-11 22:32:59,036 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-netty-util 0.3.1-SNAPSHOT
2015-11-11 22:32:59,121 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-monitoring 0.3.1-SNAPSHOT
2015-11-11 22:32:59,128 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-notifications-impl 0.3.1-SNAPSHOT
2015-11-11 22:32:59,143 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-netty 0.3.1-SNAPSHOT
2015-11-11 22:32:59,255 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-mdsal-clustering-commons 1.2.1-SNAPSHOT
2015-11-11 22:32:59,280 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-system 2.3.10
2015-11-11 22:32:59,280 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-scala 2.10
2015-11-11 22:32:59,372 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-persistence 2.3.10
