vagrant@vagrant-ubuntu-trusty-64:/opt/stack/opendaylight$ sudo tail -f /var/log/ apache2/keystone_access.log & echo $! >/opt/stack/status/stack/key-access.pid; f g || echo "key-access failed to start" | tee "/opt/stack/status/stack/key-access .failure"
[1] 17737
sudo tail -f /var/log/apache2/keystone_access.log
10.0.2.15 - - [11/Nov/2015:22:31:20 +0000] "PUT /v3/projects/dc23190b3697437dba126b4ba31496eb/users/f5e448af4c544c38abc95d39969f749c/roles/d03f07ac440542239ec22f75d9785e4b HTTP/1.1" 204 - "-" "python-keystoneclient" 25779(us)
10.0.2.15 - - [11/Nov/2015:22:31:21 +0000] "GET /v3/users/f5e448af4c544c38abc95d39969f749c HTTP/1.1" 200 197 "-" "python-keystoneclient" 12144(us)
10.0.2.15 - - [11/Nov/2015:22:31:21 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 16761(us)
10.0.2.15 - - [11/Nov/2015:22:31:21 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/users/f5e448af4c544c38abc95d39969f749c/roles HTTP/1.1" 200 326 "-" "python-keystoneclient" 32137(us)
10.0.2.15 - - [11/Nov/2015:22:31:21 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 10102(us)
10.0.2.15 - - [11/Nov/2015:22:31:21 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 18509(us)
10.0.2.15 - - [11/Nov/2015:22:31:21 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles HTTP/1.1" 200 327 "-" "python-keystoneclient" 17587(us)
10.0.2.15 - - [11/Nov/2015:22:31:22 +0000] "GET /v3/roles/2d8fd70579944f46b0163f415a8106ec HTTP/1.1" 200 162 "-" "python-keystoneclient" 10452(us)
10.0.2.15 - - [11/Nov/2015:22:31:22 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 12819(us)
10.0.2.15 - - [11/Nov/2015:22:31:22 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 15538(us)
10.0.2.15 - - [11/Nov/2015:22:31:22 +0000] "PUT /v3/projects/dc23190b3697437dba126b4ba31496eb/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles/2d8fd70579944f46b0163f415a8106ec HTTP/1.1" 204 - "-" "python-keystoneclient" 25156(us)
10.0.2.15 - - [11/Nov/2015:22:31:23 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 16313(us)
10.0.2.15 - - [11/Nov/2015:22:31:23 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 17037(us)
10.0.2.15 - - [11/Nov/2015:22:31:23 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles HTTP/1.1" 200 481 "-" "python-keystoneclient" 19213(us)
10.0.2.15 - - [11/Nov/2015:22:31:23 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 11091(us)
10.0.2.15 - - [11/Nov/2015:22:31:24 +0000] "GET /v3/projects/982667e362de489f829fcd581d2682fe HTTP/1.1" 200 274 "-" "python-keystoneclient" 11367(us)
10.0.2.15 - - [11/Nov/2015:22:31:24 +0000] "GET /v3/projects/982667e362de489f829fcd581d2682fe/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles HTTP/1.1" 200 180 "-" "python-keystoneclient" 16346(us)
10.0.2.15 - - [11/Nov/2015:22:31:24 +0000] "GET /v3/roles/4580378bd82941baaed3a2da0d132261 HTTP/1.1" 200 157 "-" "python-keystoneclient" 11079(us)
10.0.2.15 - - [11/Nov/2015:22:31:24 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 17898(us)
10.0.2.15 - - [11/Nov/2015:22:31:24 +0000] "GET /v3/projects/982667e362de489f829fcd581d2682fe HTTP/1.1" 200 274 "-" "python-keystoneclient" 10949(us)
